date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:38	24012/24012	---M--	200	added ('OK')	font/woff	etag:%2263d840f6-5dcc%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/italic.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:38	44064/44064	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263d840f6-ac20%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/italic.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:39	24084/24084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e2899b-5e14%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:41	21140/21140	---M--	200	added ('OK')	font/woff2	etag:%2263d840f6-5294%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:42	24084/24084	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263d840f6-5e14%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bolditalicd41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:42	25244/25244	---M--	200	added ('OK')	font/woff	etag:%2263d840f6-629c%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:43	44116/44116	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263d840f6-ac54%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bolditalic.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:45	22854/22854	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263d840f5-5946%22	http://cdn2.editmysite.com/fonts/Lora/regular.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/regular.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:45	19228/19228	---M--	200	added ('OK')	font/woff2	etag:%2263d840f5-4b1c%22	http://cdn2.editmysite.com/fonts/Lora/regular.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/regular.woff2	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
10:07:46	22854/22854	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e1437c-5946%22	http://cdn2.editmysite.com/fonts/Lora/regular.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Lora/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Lora/font.css?2)
